20131223,57.7700,58.3200,55.4500,55.5000,98297000
20131224,57.9600,58.5800,56.9100,58.2700,46617800
20131226,57.7300,58.3800,57.3700,58.3200,55101000
20131227,55.4400,57.6800,55.2500,57.4800,60466000
20131230,53.7100,55.1800,53.4300,54.9300,68307000
20131231,54.6500,54.8600,53.9100,54.1200,43076200
20140102,54.7100,55.2200,54.1900,54.8300,43195500
20140103,54.5600,55.6500,54.5300,55.0200,38246200
20140106,57.2000,57.2600,54.0500,54.4200,68852600
20140107,57.9200,58.5500,57.2200,57.7000,77207400
20140108,58.2300,58.4100,57.2300,57.6000,56682400
20140109,57.2200,58.9600,56.6500,58.6500,92253296
20140110,57.9400,58.3000,57.0600,57.1300,42449500
20140113,55.9100,58.2500,55.3800,57.9100,63010900
20140114,57.7400,57.7800,56.1000,56.4600,37503600
20140115,57.6000,58.5700,57.2700,57.9800,33663400
20140116,57.1900,58.0200,56.8300,57.2600,34541800
20140117,56.3000,57.8200,56.0700,57.3000,40849200
20140121,58.5100,58.5800,56.5000,56.6000,48669200
20140122,57.5100,59.3100,57.1000,58.8500,61352900
20140123,56.6300,56.6800,55.6900,56.3700,47951800
20140124,54.4500,56.4200,54.4000,56.1500,55200700
20140127,53.5500,54.9400,51.8500,54.7300,73924096
20140128,55.1400,55.2800,54.0000,54.0200,48191200
20140129,53.5300,54.9500,53.1900,54.6100,92995600
20140130,61.0800,62.5000,60.4600,62.1200,150178896
20140131,62.5700,63.3700,60.1700,60.4700,87794600
20140203,61.4800,63.7700,60.7000,63.0300,74866600
20140204,62.7500,63.1400,61.8200,62.0500,45985500
20140205,62.1900,63.1600,61.2700,62.7400,51685100
20140206,62.1600,62.7800,61.4600,61.4600,42086500
20140207,64.3200,64.5700,62.2200,62.2700,60704300
20140210,63.5500,64.4900,63.4700,64.3000,43666100
20140211,64.8500,65.0000,63.3500,63.7500,45675600
20140212,64.4500,65.0600,64.0500,64.9200,47282100
20140213,67.3300,67.3300,64.0500,64.1800,61911700
20140214,67.0900,67.5800,66.7200,67.5000,36694900
20140218,67.3000,67.5400,66.0700,66.9400,43809900
20140219,68.0600,69.0800,67.0000,67.0500,62087100
20140220,69.6300,70.1100,65.7300,67.7300,130928896
20140221,68.5900,69.9600,68.4500,69.6900,70932400
20140224,70.7800,71.4400,68.5400,68.7400,76620304
20140225,69.8500,71.0000,69.4500,70.9500,52077000
20140226,69.2600,71.2200,68.8500,70.1900,55322700
20140227,68.9400,70.0100,68.8700,69.3400,41653700
20140228,68.4600,69.8800,67.3800,69.4700,66783700
20140303,67.4100,68.0500,66.5100,66.9600,56824100
20140304,68.8000,68.9000,67.6200,68.6600,42013500
20140305,71.5700,71.9700,69.6200,69.6900,74567696
20140306,70.8400,71.8900,70.2500,71.8800,46026500
20140307,69.8000,71.1800,69.4700,71.0800,38927000
20140310,72.0300,72.1500,70.5100,70.7700,59871600
20140311,70.1000,72.5900,69.9600,72.5000,59408300
20140312,70.8800,71.3500,69.0000,69.8600,46340500
20140313,68.8300,71.3500,68.1500,71.2900,57091000
20140314,67.7200,69.4300,67.4600,68.4900,48227000
20140317,68.7400,68.9500,66.6200,68.1800,52197000
20140318,69.1900,69.6000,68.3000,68.7600,40827000
20140319,68.2400,69.2900,67.4700,69.1700,43981000
20140320,66.9700,68.2300,66.8200,68.0100,44439000
20140321,67.2400,67.9200,66.1800,67.5300,59999900
20140324,64.1000,67.3600,63.3600,67.1900,85696000
20140325,64.8900,66.1900,63.7800,64.8900,68786000
20140326,60.3900,64.9500,60.3700,64.7400,97503904
20140327,60.9700,61.9000,57.9800,60.5100,112650000
20140328,60.0100,61.9500,59.3400,61.3400,67052000
20140331,60.2400,61.5200,59.8700,60.7800,53011000
20140401,62.6200,62.6600,60.2400,60.4600,59291000
20140402,62.7200,63.9100,62.2100,63.2100,66277000
20140403,59.4900,63.1700,59.1300,62.5500,83859000
20140404,56.7500,60.2000,56.3200,59.9400,125214400
20140407,56.9500,58.0000,55.4400,55.9000,108488000
20140408,58.1900,58.7100,57.1700,57.6800,78836000
20140409,62.4100,62.4600,59.1900,59.6300,100215000
20140410,59.1600,63.1800,58.6800,63.0800,114988000
20140411,58.5300,60.3100,57.3100,57.6000,91452000
20140414,58.8900,60.4500,57.7800,60.0900,72325000
20140415,59.0900,59.6800,55.8800,59.2900,108623000
20140416,59.7200,60.1900,57.7400,59.7900,78774000
20140417,58.9400,60.5800,58.7200,59.3000,88040000
20140421,61.2400,61.2400,59.1500,59.4600,60364000
20140422,63.0300,63.4400,62.2200,62.6500,60631000
20140423,61.3600,63.4800,61.2600,63.4500,96565000
20140424,60.8700,63.6500,59.7700,63.6000,138768992
20140425,57.7100,60.0100,57.5700,59.9700,92502000
20140428,56.1400,58.3100,54.6600,58.0500,107758000
20140429,58.1500,58.2800,55.8400,56.0900,75557000
20140430,59.7800,59.8500,57.1600,57.5800,76093000
20140501,61.1500,62.2800,60.2100,60.4300,82429000
20140502,60.4600,61.8900,60.1800,61.3000,54189000
20140505,61.2200,61.3500,59.1800,59.6700,46057000
20140506,58.5300,61.1500,58.4900,60.9800,55901000
20140507,57.3900,59.3000,56.2600,58.7700,78587000
20140508,56.7600,58.8200,56.5000,57.2300,61251000
20140509,57.2400,57.6500,56.3800,56.8500,52584000
20140512,59.8300,59.9000,57.9800,57.9800,48575000
20140513,59.8300,60.8900,59.5100,59.6600,48525000
20140514,59.2300,60.4500,58.9500,59.5300,47429000
20140515,57.9200,59.3800,57.5200,59.2600,56814000
20140516,58.0200,58.4500,57.3100,58.3100,47933000
20140519,59.2100,59.5600,57.5700,57.8900,43034000
20140520,58.5600,60.1900,58.1800,59.5000,53931000
20140521,60.4900,60.5000,58.2500,58.5600,58992000
20140522,60.5200,61.4800,60.4000,60.9400,54200000
20140523,61.3500,61.4500,60.1500,60.4100,38294000
20140527,63.4800,63.5100,61.5700,61.6200,55682000
20140528,63.5100,64.1400,62.6200,63.3900,47795000
20140529,63.8300,64.3000,63.5100,63.8400,42700000
20140530,63.3000,64.1700,62.5600,63.9500,45253500
20140602,63.0800,63.5900,62.0500,63.2300,35947400
20140603,62.8700,63.4200,62.3200,62.6200,32217000
20140604,63.3400,63.5900,62.0700,62.4500,36514000
20140605,63.1900,64.3600,62.8200,63.6600,47352000
20140606,62.5000,63.4800,62.1500,63.3700,42386300
20140609,62.8800,63.3400,61.7900,62.4000,37573600
20140610,65.7700,65.8200,63.5000,63.5300,69206896
20140611,65.7800,65.8000,64.9000,65.3200,44158300
20140612,64.2900,66.4700,64.0600,65.8500,55642800
20140613,64.5000,64.9700,63.8300,64.7000,29383800
20140616,64.1900,64.8800,63.7500,64.1600,30856800
20140617,64.4000,64.8800,63.9300,64.1000,27636500
20140618,65.6000,65.7500,64.0500,64.4900,35493200
20140619,64.3400,65.5800,64.2100,65.4600,34133800
20140620,64.5000,64.8100,63.3500,64.4600,46407900
20140623,65.3700,65.6600,64.2200,64.3200,34434000
20140624,65.7200,67.1700,65.2700,65.3600,57284100
20140625,67.4400,67.4800,65.5700,65.5800,44245500
20140626,67.1300,68.0000,66.9000,68.0000,47646700
20140627,67.6000,67.7000,66.8400,67.3100,46444300
20140630,67.2900,67.9200,67.1300,67.4600,27102800
20140701,68.0600,68.4400,67.3900,67.5800,33166100
20140702,66.4500,68.3000,65.7900,68.0400,41805900
20140703,66.2900,67.0000,65.7600,66.8600,25203200
20140707,65.2900,66.5700,65.1200,66.3000,28707100
20140708,62.7600,65.5600,62.2100,65.0600,68855600
20140709,64.9700,65.1200,63.1500,63.4100,51378000
20140710,64.8700,65.3400,63.0500,63.3100,44388200
20140711,66.3400,66.5900,64.7900,65.2800,39167800
20140714,67.9000,68.1700,66.9000,67.1300,38468000
20140715,67.1700,68.0900,66.2600,67.9600,44213200
20140716,67.6600,67.9400,67.0700,67.5400,29541600
20140717,66.4100,67.8500,66.0400,67.0300,38024200
20140718,68.4200,68.4600,66.1600,66.8000,42262200
20140721,69.4000,69.9600,68.5000,68.8100,49431600
20140722,69.2700,69.7700,68.6100,69.7600,40301800
20140723,71.2900,71.3300,69.6100,69.7400,77435904
20140724,74.9800,76.7400,74.5100,75.9600,124006896
20140725,75.1900,75.6700,74.6600,74.9900,45823100
20140728,74.9200,75.5000,73.8500,75.1700,41640000
20140729,73.7100,74.9200,73.4200,74.7200,41126900
20140730,74.6800,75.1900,74.1300,74.2100,36823000
20140731,72.6500,74.1700,72.4400,74.0000,43909200
